DATE,APPEARANCE,ACCOMPANY,,,,
2016.10.18,류경안과종합병원,"최룡해,최태복,조용원,마원춘,리문곤,김용수",,,,
2016.10.07,만경대혁명사적지 기념품공장 현지지도,"오수용,안정수,조용원,박명순",,,,
2016.09.30,용악산샘물공장 현지지도,"박봉주,안정수,조용원,림준길",,,,
2016.09.24,대동강 주사기공장 현지지도,"서홍찬,조용원",,,,
2016.09.22,5차 핵실험 성공에 기여한 성원들과 기념사진 촬영,"리만건,홍승무",,,,
2016.09.20,새 형의 정지위성 운반로켓용 대출력 발동기 지상분출시험 지도,,,,,
2016.09.18,고산과수농장 방문,"황병서,서홍찬",,,,
2016.09.15,새로 건설된 보건산소공장 방문,"최태복,마원춘,강봉훈",,,,
2016.09.13,인민군 제810군부대 산하 1116호 농장 현지지도,"황병서,오수용,조용원,한광상",,,,
2016.09.06,전략군 화성 포병부대 발사 훈련 참관,"리만건,리병철,김정식",,,,
2016.09.01,SLBM발사 성공에 기여한 성원들과 기념사진 촬영,"리만건,리병철,노광철",,,,
2016.08.31,김일성 사회주의청년동맹 9차대회 참가자들과 기념촬영,"최룡해,김수길,김능오,박태성,리일환,전용남,김용주,김영녀",,,,
2016.08.29,김일성사회주의청년동맹 경축 청년전위들의 홰불 야회 참가,"황병서,최룡해,김기남,김평해,리만건,오수용,곽범기,김영철,김수길,김능오,박태성,리일환,김용주,김영녀",,,,
2016.08.29,김일성사회주의청년동맹 제9차대회 연설,"황병서,최룡해,김기남",,,,
2016.08.25,전략잠수함 탄도탄 수중시험발사 참관,,,,,
2016.08.18,대동강돼지공장 현지지도,"오수용,조용원",,,,
2016.08.18,대동강과수종합농장 현지지도,"오수용,조용원",,,,
2016.08.13,순천화학연합기업소 아크릴계 칠감 생산공정 견학,"박봉주,리무영",,,,
2016.08.10,1월18일기계종합공장 현지지도,"조용원,홍영칠,유진",,,,
2016.08.06,조선인민군 제3차 오중흡7연대칭호쟁취운동열성자대회 참가자들과 함께 기념사진 촬영,"황병서,리명수,박영식",,,,
2016.08.04,조선인민군 제3차 오중흡7연대칭호 쟁취운동 열성자대회 참석,"황병서,리명수,박영식",,,,
